Time (sec),Accel Position (%),Baro Pressure (kPa),Boost (kPa),Coolant Temp (C),Fuel Press Final (kPa),Fuel Press Raw (kPa),Gear Position (Gear),Intake Temp (C),Man Abs Press (kPa),RPM (RPM),Req Torque (Nm),Target Throttle (%),Throttle Pos (%),Vehicle Speed (kph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2020 USDM WRX STI COBB Custom Features][Reflash: Stage1 ACN91 v400 Boost Select.ptm - Realtime: Stage1 ACN91 v400 Boost Select.ptm]
8.122,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.71,765,0.00,0.00,3.9,0,0.00,0
8.180,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.44,768,0.00,0.00,3.9,0,0.00,0
8.261,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.57,766,0.00,0.00,3.9,0,0.00,0
8.340,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,771,0.00,0.00,3.9,0,0.00,0
8.403,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,770,0.00,0.00,3.9,0,0.00,0
8.487,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,770,0.00,0.00,3.9,0,0.00,0
8.561,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,780,0.00,0.00,3.9,0,0.00,0
8.634,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,782,0.00,0.00,3.9,0,0.00,0
8.704,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,780,0.00,0.00,3.9,0,0.00,0
8.793,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,782,0.00,0.00,3.9,0,0.00,0
8.859,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,785,0.00,0.00,3.9,0,0.00,0
8.940,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,781,0.00,0.00,3.9,0,0.00,0
9.019,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,780,0.00,0.00,3.9,0,0.00,0
